,Folio,Folio,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,31,280108,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
1,38,280109,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
2,341932,007817297284,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,341933,5595,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,342205,5614,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0001010100750847116902,42862,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,007817297284,383133,1.0,360.0,57.6,0.0,0.0,417.6,417.6
7,56,156067,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,90864603,156068,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7020,901060,1.0,78.0,0.0,0.0,0.0,78.0,78.0
10,201886,4218113,1.0,0.0,0.0,0.0,0.0,0.0,3644.2
11,201887,4218131,1.0,0.0,0.0,0.0,0.0,0.0,399.0
12,202118,987862,1.0,0.0,0.0,0.0,0.0,0.0,-389.0
13,4535,420211201898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4640966,420211201898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,22022120028311,22021120028311,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,155502,2155,1.0,5349.66,855.95,0.0,0.0,5100.009999999999,5100.01
17,,724,1.0,4543.1,726.9,0.0,0.0,5270.0,5270.0
18,1144178,79878,1.0,7325.0,412.43,0.0,0.0,8497.0,8497.0
19,16165,3079,1.0,2577.66,412.43,0.0,0.0,2990.0899999999997,2990.09
20,16173,1595,1.0,5581.52,0.0,0.0,0.0,6474.56,6474.56
21,420221201898904,106583,1.0,5581.52,893.04,0.0,0.0,6474.56,6474.56
22,420221201898904,1551952,1.0,245.0,48.0,0.0,0.0,10348.0,10348.0
23,7261,72757,1.0,245.0,0.0,0.0,0.0,245.0,245.0
24,75812,965,1.0,245.0,0.0,0.0,0.0,245.0,245.0
25,1184,14441,1.0,9030.0,45.44,0.0,0.0,329.44,10474.8
26,3126,388768,1.0,284.0,45.44,0.0,0.0,329.44,329.44
27,34827,19516080,1.0,1291.98,206.72,0.0,0.0,1498.7,1498.7
28,20922111,231,1.0,360.0,57.6,0.0,0.0,417.6,417.6
29,4642855,22000,1.0,360.0,57.6,0.0,0.0,417.6,417.6
30,4642856,13117,1.0,6527.264,0.0,0.0,0.0,7571.6262400000005,371.2
31,75818,3197,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,78361,54728,1.0,848.0,135.68,0.0,0.0,983.6800000000001,983.68
33,34532337,54729,1.0,1350.0,216.0,0.0,0.0,1566.0,1566.0
34,4546,33027984,1.0,272.04,43.53,0.0,0.0,315.57000000000005,315.57
35,4547,33027984,1.0,272.04,43.53,0.0,0.0,315.57000000000005,315.57
36,18845,33027984,1.0,1781.1200000000001,284.98,0.0,0.0,2066.1000000000004,2066.1
37,75827,33027984,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1147497,49520,1.0,1154.68,179.6,0.0,0.0,1334.28,1334.28
39,2000744898,4893,1.0,2201.5,352.24,0.0,0.0,2553.74,2553.74
40,90682,6212,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,154616,409762,1.0,68.1,10.9,0.0,0.0,79.0,79.0
42,4646622,8290790,1.0,1434.0,0.0,0.0,0.0,1434.0,1434.0
43,4646710,580,1.0,1080.0,172.8,0.0,0.0,1252.8,1252.8
44,11475,592,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
45,1695,013490,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2756,013490,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8558,013490,1.0,156.0,0.0,0.0,0.0,156.0,156.0
